projectRcn,projectID,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode,organizationUrl,vatNumber,contactForm,contactType,contactTitle,contactFirstNames,contactLastNames,contactFunction,contactTelephoneNumber,contactFaxNumber
194361,645690,TraSaCu,partner,940914939,AMRKS,AMRKS,OTH,false,NA,XK,Bregu i Diellit Z/J 1/1,Pristina,10000,NA,XK600350920,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=940914939&projectId=645690&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194361,645690,TraSaCu,participant,940544690,TELECOMMUNICATION AND COMPUTER NETWORKING TNC SHPK,TCN shpk,PRC,false,36000,AL,RRUGA RESHIT COLLAKU 8 / 115,TIRANE,NA,NA,ALJ61929021E,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=940544690&projectId=645690&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194448,646495,Bioenergy4Business,participant,999570063,ENERGETSKI INSTITUT HRVOJE POZAR,EIHP,HES,false,51027.5,HR,SAVSKA CESTA 163,ZAGREB,10000,NA,HR43980170614,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999570063&projectId=646495&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194438,646440,CITYKEYS,participant,989531727,GRAD ZAGREB,ZAGREB,HES,false,31750,HR,TRG STJEPANA RADICA 1,ZAGREB,10 000,NA,HR61817894937,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=989531727&projectId=646440&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193402,636427,SocialCar,participant,989531727,GRAD ZAGREB,ZAGREB,HES,false,112101,HR,TRG STJEPANA RADICA 1,ZAGREB,10 000,NA,HR61817894937,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=989531727&projectId=636427&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193402,636427,SocialCar,participant,989434048,CITY OF SKOPJE,Skopje,HES,false,44617.5,MK,BOULEVARD ILINDEN 82 SKOPJE CENTER,SKOPJE,1000,www.skopje.gov.mk,MK4030004561156,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=989434048&projectId=636427&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193229,633398,FLIRT,participant,998850323,UNIVERZITET U KRAGUJEVCU,UNIVERZITET U KRAGUJEVCU,HES,false,23977,RS,JOVANA CVIJICA BB,KRAGUJEVAC,34000,www.kg.ac.rs,RS101319321,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998850323&projectId=633398&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193229,633398,FLIRT,coordinator,963572490,CPNU -  CENTAR ZA PROMOCIJU NAUKE IUMETNOSTI DRUSTVO SA OGRANICENOM ODGOVORNOSCU BEOGRAD,CPNU FENOMEN DOO,PRC,false,43912,RS,KAPETANA RADICA PETROVICA 9,BEOGRAD ZEMUN,11080,NA,RS106319683,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=963572490&projectId=633398&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193229,633398,FLIRT,participant,999940991,INSTITUT MIHAJLO PUPIN,PUPIN,REC,false,25867,RS,VOLGINA  15,BEOGRAD,11060,www.institutepupin.com,CS100008310,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999940991&projectId=633398&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193229,633398,FLIRT,participant,984400427,"Faculty of Mathematics, University of Belgrade",UoB - MF,HES,false,15275,RS,Studentski trg  16,Belgrade,11000,NA,RS100046603,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984400427&projectId=633398&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193229,633398,FLIRT,participant,999890260,UNIVERSITY OF NIS- FACULTY OF ELECTRONIC ENGINEERING,UNIVERSITY OF NIS- FACULTY OF ELECTRONIC ENGINEERING,HES,false,35112,RS,Aleksandra Medvedeva 14,Nis,18000,www.elfak.ni.ac.yu,CS100232259,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999890260&projectId=633398&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193231,633406,MONTENIGHT2014-15,coordinator,994116044,J.U. PRIRODNJACKI MUZEJ CRNE GORE PODGORICA,PMCG,REC,false,14640,ME,Trg Becir-Bega Osmanagica   16,PODGORICA,+382,www.pmcg.co.me,ME02239329,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=994116044&projectId=633406&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193231,633406,MONTENIGHT2014-15,participant,967232300,MINISTARSTVO NAUKE,MOS-ME,PUB,false,2645,ME,Rimski trg  46,Podgorica,81000,www.mna.gov.me,ME02821613302,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=967232300&projectId=633406&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193231,633406,MONTENIGHT2014-15,participant,993870052,"""Fondacija za promovisanje nauke """"PRONA""""""",Prona,OTH,false,63000,ME,"Cetinjski put, Vektra III-4   ul. 5, 45a",Podgorica,81000,www.prona.org,NA,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=993870052&projectId=633406&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193221,633363,RiNG-14-15,coordinator,959218257,TIDEA DOO BANJA LUKA,TIDEA,PRC,false,80500,BA,ULICA SOLUNSKA 79,BANJA LUKA,78000,www.tidea.eu,BA403278780009,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=959218257&projectId=633363&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193221,633363,RiNG-14-15,participant,952544463,PRIVREDNO DRUSTVO INSTITUT ZA HIDROTEHNIKU DD SARAJEVO,HEIS,PRC,false,43500,BA,STJEPANA TOMICA 1,SARAJEVO,71000,www.heis.com.ba,BA200608910003,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=952544463&projectId=633363&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,coordinator,999825755,UNIVERZITET U NOVOM SADU FAKULTET TEHNICKIH NAUKA,FTN,HES,false,37000,RS,TRG DOSITEJA OBRADOVICA  6,NOVI SAD,21000,NA,RS100724720,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999825755&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,participant,968808453,VISOKA TEHNICKA SKOLA STRUKOVNIH STUDIJA U ZRENJANINU,VTSSS ZR,HES,false,12000,RS,DJORDJA STRATIMIROVICA 23,ZRENJANIN,23000,www.vts-zr.edu.rs,RS101162083,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=968808453&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,participant,997718624,University of Novi Sad Faculty of Sciences,UNSPMF,HES,false,5000,RS,Trg Dositeja Obradovica  3,Novi Sad,21000,http://www.pmf.uns.ac.rs,RS101635863,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997718624&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,participant,954810286,CENTAR ZA PROMOCIJU NAUKE,CPN,HES,false,6000,RS,KRALJA PETRA 46,BEOGRAD,11000,www.cpn.rs,RS106867229,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954810286&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,participant,986304052,Kreativno edukativni centar,KEC,OTH,false,28000,RS,SAVE VLA 19,NOVI SAD,21000,www.eyouwins.com,RS103725528,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=986304052&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
193227,633396,Friend2U,participant,946995190,Udruzenje naucnih komunikatora,NauKom,PRC,false,10000,RS,IVE ANDRICA 21,FUTOG,21410,NA,RS108392904,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=946995190&projectId=633396&programId=31045243,NA,NA,NA,NA,NA,NA,NA
196618,643555,UNCAP,participant,972180367,REPUBLIC OF MACEDONIA GOCE DELCEV STATE UNIVERSITY STIP,GDU,HES,false,109375,MK,UL. KRSTE MISIRKOV BB,STIP,2000,NA,MK4029007136199,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=972180367&projectId=643555&programId=31045243,NA,NA,NA,NA,NA,NA,NA
196829,642384,BAMB,participant,942134811,FONDACIJA ZA RAZVOJ ODRZIVOG DIZAJNA SARAJEVO,SGDF,REC,false,500882.79,BA,PATRIOTSKE LIGE 33,SARAJEVO,71000,NA,NA,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=942134811&projectId=642384&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194062,643410,OpenAIRE2020,participant,999641843,UNIVERZITET U BEOGRADU,UB,HES,false,72050,RS,STUDENTSKI TRG  1,BEOGRAD,11000,http://www.bg.ac.yu/en_index.php,RS100052450,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999641843&projectId=643410&programId=31045243,NA,NA,NA,NA,NA,NA,NA
194062,643410,OpenAIRE2020,participant,999875031,RUDER BOSKOVIC INSTITUTE,RBI,HES,false,49000,HR,Bijenicka cesta 54,ZAGREB,10000,www.irb.hr,HR69715301002,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999875031&projectId=643410&programId=31045243,NA,NA,NA,NA,NA,NA,NA
221597,824666,FAIR4Health,participant,972166011,INSTITUT ZA PLUCNE BOLESTI VOJVODINE,IPBV,HES,false,48265,RS,PUT DOKTORA GOLDMANA 4,SREMSKA KAMENICA,21204,NA,RS100804605,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=972166011&projectId=824666&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213851,806018,COMPA 2GO,coordinator,997124014,ALVEUS DOO ZA SAVJETOVANJE I INZENJERING,AS2CON,PRC,false,612000,HR,KVATERNIKOVA 62B,RIJEKA,51000,www.as2con.com,HR43667383517,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997124014&projectId=806018&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212378,770063,DOIT,participant,953666850,SVEUCILISTE U ZAGREBU ARHITEKTONSKI FAKULTET,AF ZAGREB,HES,false,76625,HR,KACICEVA 26,ZAGREB,10000,NA,HR42061107444,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=953666850&projectId=770063&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212378,770063,DOIT,participant,915706094,DRUSTVO SA OGRANICENOM ODGOVORNOSCU POLYHEDRA BEOGRAD-ZVEZDARA,POLY,OTH,false,59937.5,RS,DOJRANSKA 16,BEOGRAD,11000,NA,RS108847389,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=915706094&projectId=770063&programId=31045243,NA,NA,NA,NA,NA,NA,NA
210580,745791,REFUCOAT,participant,952298374,"MI-PLAST DOO ZA PROIZVODNJU TRGOVINU I PRUZANJE USLUGA - MI-PLAST LLC MANUFACTURING, TRADING AND SERVICES MIPLAST",MIP,OTH,false,156825,HR,MILUTINA BARACA 54,RIJEKA,51000,www.mi-plast.hr,HR61935737712,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=952298374&projectId=745791&programId=31045243,NA,NA,NA,NA,NA,NA,NA
200382,676207,MIROR,participant,999818189,SVEUCILISTE U SPLITU,UNISPLIT,HES,false,495522,HR,POLJICKA CESTA 35,SPLIT,21000,www.unist.hr,HR29845096215,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999818189&projectId=676207&programId=31045243,NA,NA,NA,NA,NA,NA,NA
196809,641762,ECOPOTENTIAL,participant,944812302,PSI HYDROBIOLOGICAL INSTITUTE OHRID,HIO,HES,false,112587.5,MK,NAUM OHRIDSKI 50,OHRID,6000,NA,MK4020960118397,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=944812302&projectId=641762&programId=31045243,NA,NA,NA,NA,NA,NA,NA
198602,640557,BIRTH,beneficiary,996073019,UNIVERZITET U BEOGRADU - Filozofski fakultet,UBFF,HES,true,204004.16,RS,CIKA LJUBINA 18-20,BELGRADE,11000,www.f.bg.ac.rs,RS100050474,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996073019&projectId=640557&programId=31045243,NA,NA,NA,NA,NA,NA,NA
